@relation Train

@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute class {0,1,2}

@data
0.008099,0.004489,-1.007745,1
-0.780137,-0.552792,-0.039045,2
0.021393,0.033222,-0.999528,0
0.016,-0.008966,-1.109154,1
-0.3369,-0.904542,0.059136,2
0.019181,0.033725,-0.999534,0
-0.786865,0.61087,0.037994,0
0.033717,-1.003101,0.08456,0
-0.736613,-0.682095,0.0604,2
0.052124,0.973663,0.077087,2
-0.786194,0.610077,0.040741,0
0.020094,0.030517,-0.999519,0
0.067124,-0.986669,-0.01429,0
-0.785675,0.611725,0.037354,0
0.033848,-1.002845,0.0809,0
0.057697,0.102657,-1.110775,1
-0.785919,0.611664,0.0354,0
0.021288,0.028679,-1.005538,0
-0.78653,0.611481,0.036987,0
-0.785187,0.610107,0.039276,0
-0.770966,0.627441,0.045074,1
0.020884,0.031182,-0.998712,0
0.019255,0.031143,-0.997292,0
0.019413,0.0316,-1.000388,0
-0.786041,0.610687,0.040436,0
-0.784485,0.610107,0.037659,0
0.029675,-1.011452,0.143075,1
-0.785889,0.610565,0.037659,0
-0.78653,0.611084,0.040924,0
1.346514,-0.136333,0.232751,2
0.019523,0.032505,-0.997968,0
0.041687,-0.997268,0.038519,1
0.033725,-1.003177,0.080746,0
0.033095,-1.002649,0.078586,0
0.021498,0.031192,-0.998982,0
0.994049,-0.078407,0.061738,2
0.019472,0.031484,-0.999081,0
-0.782898,0.566223,0.044434,1
0.033725,-1.003087,0.080838,0
0.022005,0.033029,-0.998736,0
0.018671,0.032157,-0.99941,0
0.018394,0.032184,-0.99932,0
0.050762,-0.974291,-0.023346,1
0.033647,-1.002864,0.083342,0
-0.008836,-0.074584,-0.936441,1
-0.737765,-0.673263,0.054205,2
0.019924,0.032752,-0.999575,0
0.032926,-1.002578,0.081089,0
-0.809387,0.597168,0.053467,1
-0.017883,1.021667,-0.008392,2
0.019196,0.031904,-1.000354,0
0.036453,-0.971529,0.006671,1
0.019404,0.032014,-0.997977,0
-0.785553,0.61087,0.038116,0
0.037084,-1.003443,0.041462,1
0.021458,0.032412,-0.998719,0
0.033321,-1.001902,0.080726,0
-0.785919,0.610138,0.041016,0
0.03382,-1.002375,0.081666,0
-0.786316,0.609344,0.040985,0
0.032747,-1.002898,0.081881,0
0.01846,0.033319,-1.004323,0
0.03308,-1.003511,0.080686,0
0.033278,-1.003585,0.082881,0
-0.786621,0.611359,0.039276,0
0.033619,-1.002873,0.083769,0
-0.785217,0.611908,0.036224,0
-0.216092,-1.013359,0.038673,2
0.019505,0.031019,-0.998753,0
-0.774933,0.608643,0.037109,1
0.033304,-1.003209,0.082304,0
0.021553,0.032469,-1.000118,0
0.135315,0.98819,0.044983,2
0.020881,0.031451,-0.998373,0
0.034147,-1.00346,0.084312,0
-0.771667,0.639282,0.042358,1
0.321838,0.473755,0.037445,2
-0.744795,-0.657138,-0.012482,2
0.035933,-1.019995,0.085328,1
0.055364,-0.990001,0.006493,1
0.034759,0.034868,-0.93078,1
-0.761108,0.604645,0.038849,1
0.033666,-1.003245,0.081112,0
-0.786346,0.611938,0.038116,0
0.01919,0.032116,-0.998586,0
0.990575,-0.092626,0.065229,2
-0.360867,-0.90341,0.057186,2
0.05035,0.043432,-1.044052,0
0.033234,-1.00288,0.081025,0
0.03406,-1.003494,0.07998,0
-0.7854,0.611786,0.036316,0
0.031906,-1.002566,0.080362,0
-0.787933,0.616425,0.035675,0
0.019778,0.031222,-0.998018,0
0.032989,-1.002854,0.08124,0
0.02443,-1.021212,0.129372,0
1.060821,0.136372,0.142794,2
0.032561,-1.002774,0.081731,0
0.019346,0.031972,-0.999043,0
0.032626,-1.003115,0.082064,0
-0.858932,-0.495656,-0.039671,2
1.110875,-0.211649,0.151591,2
0.003668,-1.03763,0.179162,1
0.033794,-1.00248,0.082367,0
0.033372,-1.003379,0.083218,0
-0.786041,0.610229,0.040405,0
-0.7854,0.612732,0.035217,0
0.033901,-1.003638,0.084068,0
-0.231931,-0.975342,0.074685,2
0.062369,-0.979929,-0.023896,1
0.034019,-1.002143,0.079195,0
0.020471,0.033071,-0.99838,0
-0.785889,0.611267,0.036835,0
0.033511,-1.004262,0.080344,0
0.04058,0.062379,-0.874778,1
0.033103,-1.002075,0.080268,0
-0.083496,1.021729,0.00351,2
0.985549,-0.144235,0.117655,2
-0.857452,-0.538843,0.019512,2
0.033993,-1.002366,0.079713,0
0.02051,0.032071,-0.998943,0
-0.78598,0.610992,0.04126,0
0.040419,0.036048,-1.120542,1
0.019555,0.032608,-0.998545,0
0.029101,-1.026437,0.105824,1
-0.730521,-0.714707,0.073121,2
-0.785919,0.612579,0.037292,0
0.019069,0.031607,-0.997651,0
0.02139,0.033044,-0.998161,0
0.043024,-0.977366,0.016945,1
